group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
Caverphone 1,,,,,147561.0,ns,58
Caverphone 1,,,,,240993.0,ns,116
Caverphone 1,,,,,340366.0,ns,174
Caverphone 1,,,,,453282.0,ns,232
Caverphone 1,,,,,579271.0,ns,290
Caverphone 1,,,,,659876.0,ns,348
Caverphone 1,,,,,770804.0,ns,406
Caverphone 1,,,,,880605.0,ns,464
Caverphone 1,,,,,990479.0,ns,522
Caverphone 1,,,,,1105106.0,ns,580
Caverphone 1,,,,,1243962.0,ns,638
Caverphone 1,,,,,1328452.0,ns,696
Caverphone 1,,,,,1442624.0,ns,754
Caverphone 1,,,,,1551741.0,ns,812
Caverphone 1,,,,,1665473.0,ns,870
Caverphone 1,,,,,1784232.0,ns,928
Caverphone 1,,,,,1888417.0,ns,986
Caverphone 1,,,,,2140522.0,ns,1044
Caverphone 1,,,,,2220408.0,ns,1102
Caverphone 1,,,,,2505852.0,ns,1160
Caverphone 1,,,,,2504071.0,ns,1218
Caverphone 1,,,,,2429047.0,ns,1276
Caverphone 1,,,,,2607728.0,ns,1334
Caverphone 1,,,,,2780921.0,ns,1392
Caverphone 1,,,,,2781942.0,ns,1450
Caverphone 1,,,,,2984246.0,ns,1508
Caverphone 1,,,,,3006419.0,ns,1566
Caverphone 1,,,,,3108660.0,ns,1624
Caverphone 1,,,,,3188311.0,ns,1682
Caverphone 1,,,,,3357262.0,ns,1740
Caverphone 1,,,,,3451372.0,ns,1798
Caverphone 1,,,,,3617852.0,ns,1856
Caverphone 1,,,,,3698450.0,ns,1914
Caverphone 1,,,,,3810532.0,ns,1972
Caverphone 1,,,,,3890098.0,ns,2030
Caverphone 1,,,,,3990191.0,ns,2088
Caverphone 1,,,,,4220715.0,ns,2146
Caverphone 1,,,,,4230447.0,ns,2204
Caverphone 1,,,,,4334016.0,ns,2262
Caverphone 1,,,,,4481508.0,ns,2320
Caverphone 1,,,,,4573879.0,ns,2378
Caverphone 1,,,,,4721157.0,ns,2436
Caverphone 1,,,,,4800598.0,ns,2494
Caverphone 1,,,,,4851604.0,ns,2552
Caverphone 1,,,,,4963302.0,ns,2610
Caverphone 1,,,,,5093183.0,ns,2668
Caverphone 1,,,,,5209808.0,ns,2726
Caverphone 1,,,,,5293591.0,ns,2784
Caverphone 1,,,,,5431480.0,ns,2842
Caverphone 1,,,,,5609739.0,ns,2900
Caverphone 1,,,,,5611974.0,ns,2958
Caverphone 1,,,,,5797931.0,ns,3016
Caverphone 1,,,,,5909842.0,ns,3074
Caverphone 1,,,,,5975386.0,ns,3132
Caverphone 1,,,,,6086507.0,ns,3190
Caverphone 1,,,,,6295472.0,ns,3248
Caverphone 1,,,,,6356784.0,ns,3306
Caverphone 1,,,,,8898599.0,ns,3364
Caverphone 1,,,,,6836934.0,ns,3422
Caverphone 1,,,,,8530549.0,ns,3480
Caverphone 1,,,,,6788878.0,ns,3538
Caverphone 1,,,,,6988440.0,ns,3596
Caverphone 1,,,,,7119608.0,ns,3654
Caverphone 1,,,,,7174319.0,ns,3712
Caverphone 1,,,,,7621786.0,ns,3770
Caverphone 1,,,,,7459121.0,ns,3828
Caverphone 1,,,,,7846815.0,ns,3886
Caverphone 1,,,,,7786152.0,ns,3944
Caverphone 1,,,,,7972746.0,ns,4002
Caverphone 1,,,,,14457887.0,ns,4060
Caverphone 1,,,,,8369858.0,ns,4118
Caverphone 1,,,,,8082353.0,ns,4176
Caverphone 1,,,,,8133654.0,ns,4234
Caverphone 1,,,,,8262841.0,ns,4292
Caverphone 1,,,,,8382428.0,ns,4350
Caverphone 1,,,,,8478380.0,ns,4408
Caverphone 1,,,,,8604123.0,ns,4466
Caverphone 1,,,,,8881409.0,ns,4524
Caverphone 1,,,,,8807773.0,ns,4582
Caverphone 1,,,,,8912930.0,ns,4640
Caverphone 1,,,,,9064081.0,ns,4698
Caverphone 1,,,,,9095874.0,ns,4756
Caverphone 1,,,,,9248136.0,ns,4814
Caverphone 1,,,,,9375546.0,ns,4872
Caverphone 1,,,,,9516493.0,ns,4930
Caverphone 1,,,,,9544759.0,ns,4988
Caverphone 1,,,,,9742714.0,ns,5046
Caverphone 1,,,,,9816148.0,ns,5104
Caverphone 1,,,,,10031877.0,ns,5162
Caverphone 1,,,,,10065761.0,ns,5220
Caverphone 1,,,,,10189248.0,ns,5278
Caverphone 1,,,,,10300413.0,ns,5336
Caverphone 1,,,,,10487683.0,ns,5394
Caverphone 1,,,,,10522018.0,ns,5452
Caverphone 1,,,,,10792748.0,ns,5510
Caverphone 1,,,,,10794790.0,ns,5568
Caverphone 1,,,,,10985447.0,ns,5626
Caverphone 1,,,,,10869676.0,ns,5684
Caverphone 1,,,,,11100446.0,ns,5742
Caverphone 1,,,,,11024439.0,ns,5800
Caverphone 1,,,,,12750460.0,ns,5858
Caverphone 1,,,,,11859509.0,ns,5916
Caverphone 1,,,,,11612524.0,ns,5974
Caverphone 1,,,,,11796255.0,ns,6032
Caverphone 1,,,,,12146519.0,ns,6090
Caverphone 1,,,,,11894802.0,ns,6148
Caverphone 1,,,,,12011055.0,ns,6206
Caverphone 1,,,,,11921620.0,ns,6264
Caverphone 1,,,,,12073080.0,ns,6322
Caverphone 1,,,,,12216918.0,ns,6380
Caverphone 1,,,,,12321522.0,ns,6438
Caverphone 1,,,,,12511987.0,ns,6496
Caverphone 1,,,,,12565936.0,ns,6554
Caverphone 1,,,,,12851370.0,ns,6612
Caverphone 1,,,,,12877179.0,ns,6670
Caverphone 1,,,,,13025416.0,ns,6728
Caverphone 1,,,,,13091741.0,ns,6786
Caverphone 1,,,,,13459208.0,ns,6844
Caverphone 1,,,,,13390395.0,ns,6902
Caverphone 1,,,,,13471466.0,ns,6960
Caverphone 1,,,,,13515457.0,ns,7018
Caverphone 1,,,,,13658863.0,ns,7076
Caverphone 1,,,,,13803662.0,ns,7134
Caverphone 1,,,,,13861196.0,ns,7192
Caverphone 1,,,,,13851865.0,ns,7250
Caverphone 1,,,,,13971719.0,ns,7308
Caverphone 1,,,,,14237496.0,ns,7366
Caverphone 1,,,,,14320317.0,ns,7424
Caverphone 1,,,,,14577808.0,ns,7482
Caverphone 1,,,,,14465847.0,ns,7540
Caverphone 1,,,,,14683711.0,ns,7598
Caverphone 1,,,,,14806903.0,ns,7656
Caverphone 1,,,,,14806115.0,ns,7714
Caverphone 1,,,,,15044682.0,ns,7772
Caverphone 1,,,,,15506459.0,ns,7830
Caverphone 1,,,,,15226450.0,ns,7888
Caverphone 1,,,,,15321139.0,ns,7946
Caverphone 1,,,,,15552105.0,ns,8004
Caverphone 1,,,,,15478540.0,ns,8062
Caverphone 1,,,,,15481275.0,ns,8120
Caverphone 1,,,,,15816179.0,ns,8178
Caverphone 1,,,,,15844163.0,ns,8236
Caverphone 1,,,,,15814971.0,ns,8294
Caverphone 1,,,,,16097128.0,ns,8352
Caverphone 1,,,,,16019388.0,ns,8410
Caverphone 1,,,,,16242080.0,ns,8468
Caverphone 1,,,,,16372167.0,ns,8526
Caverphone 1,,,,,16663451.0,ns,8584
Caverphone 1,,,,,17862677.0,ns,8642
Caverphone 1,,,,,16782806.0,ns,8700
Caverphone 1,,,,,17038143.0,ns,8758
Caverphone 1,,,,,17245784.0,ns,8816
Caverphone 1,,,,,17176342.0,ns,8874
Caverphone 1,,,,,17308448.0,ns,8932
Caverphone 1,,,,,17340323.0,ns,8990
Caverphone 1,,,,,17405580.0,ns,9048
Caverphone 1,,,,,17455168.0,ns,9106
Caverphone 1,,,,,18511154.0,ns,9164
Caverphone 1,,,,,17897024.0,ns,9222
Caverphone 1,,,,,17857521.0,ns,9280
Caverphone 1,,,,,17787428.0,ns,9338
Caverphone 1,,,,,17985629.0,ns,9396
Caverphone 1,,,,,18065316.0,ns,9454
Caverphone 1,,,,,18402874.0,ns,9512
Caverphone 1,,,,,18443725.0,ns,9570
Caverphone 1,,,,,18503338.0,ns,9628
Caverphone 1,,,,,19203857.0,ns,9686
Caverphone 1,,,,,19254900.0,ns,9744
Caverphone 1,,,,,19128953.0,ns,9802
Caverphone 1,,,,,19095177.0,ns,9860
Caverphone 1,,,,,19088876.0,ns,9918
Caverphone 1,,,,,19288251.0,ns,9976
Caverphone 1,,,,,19299237.0,ns,10034
Caverphone 1,,,,,19418208.0,ns,10092
Caverphone 1,,,,,19576006.0,ns,10150
Caverphone 1,,,,,19745749.0,ns,10208
Caverphone 1,,,,,19926445.0,ns,10266
Caverphone 1,,,,,20072022.0,ns,10324
Caverphone 1,,,,,19953220.0,ns,10382
Caverphone 1,,,,,19946059.0,ns,10440
Caverphone 1,,,,,20181440.0,ns,10498
Caverphone 1,,,,,20157776.0,ns,10556
Caverphone 1,,,,,20279866.0,ns,10614
Caverphone 1,,,,,20361057.0,ns,10672
Caverphone 1,,,,,20371613.0,ns,10730
Caverphone 1,,,,,20621463.0,ns,10788
Caverphone 1,,,,,20707935.0,ns,10846
Caverphone 1,,,,,20767122.0,ns,10904
Caverphone 1,,,,,20901918.0,ns,10962
Caverphone 1,,,,,21370788.0,ns,11020
Caverphone 1,,,,,21436256.0,ns,11078
Caverphone 1,,,,,21318540.0,ns,11136
Caverphone 1,,,,,21530512.0,ns,11194
Caverphone 1,,,,,21648354.0,ns,11252
Caverphone 1,,,,,21768381.0,ns,11310
Caverphone 1,,,,,21893953.0,ns,11368
Caverphone 1,,,,,21840049.0,ns,11426
Caverphone 1,,,,,22028479.0,ns,11484
Caverphone 1,,,,,22246080.0,ns,11542
Caverphone 1,,,,,23288427.0,ns,11600
Caverphone 1,,,,,22633618.0,ns,11658
Caverphone 1,,,,,22498923.0,ns,11716
Caverphone 1,,,,,22580453.0,ns,11774
Caverphone 1,,,,,22920450.0,ns,11832
Caverphone 1,,,,,22880410.0,ns,11890
Caverphone 1,,,,,22982559.0,ns,11948
Caverphone 1,,,,,22916239.0,ns,12006
Caverphone 1,,,,,23013317.0,ns,12064
Caverphone 1,,,,,23062262.0,ns,12122
Caverphone 1,,,,,23361242.0,ns,12180
Caverphone 1,,,,,23462043.0,ns,12238
Caverphone 1,,,,,23914316.0,ns,12296
Caverphone 1,,,,,23618714.0,ns,12354
Caverphone 1,,,,,24760262.0,ns,12412
Caverphone 1,,,,,24441347.0,ns,12470
Caverphone 1,,,,,25440550.0,ns,12528
Caverphone 1,,,,,26147929.0,ns,12586
Caverphone 1,,,,,24397321.0,ns,12644
Caverphone 1,,,,,24455408.0,ns,12702
Caverphone 1,,,,,24763973.0,ns,12760
Caverphone 1,,,,,24675107.0,ns,12818
Caverphone 1,,,,,24636294.0,ns,12876
Caverphone 1,,,,,25081953.0,ns,12934
Caverphone 1,,,,,25025851.0,ns,12992
Caverphone 1,,,,,25232978.0,ns,13050
Caverphone 1,,,,,25417109.0,ns,13108
Caverphone 1,,,,,25383918.0,ns,13166
Caverphone 1,,,,,25517163.0,ns,13224
Caverphone 1,,,,,25544457.0,ns,13282
Caverphone 1,,,,,25828122.0,ns,13340
Caverphone 1,,,,,25737739.0,ns,13398
Caverphone 1,,,,,26282758.0,ns,13456
Caverphone 1,,,,,26448927.0,ns,13514
Caverphone 1,,,,,26594361.0,ns,13572
Caverphone 1,,,,,26291227.0,ns,13630
Caverphone 1,,,,,26731608.0,ns,13688
Caverphone 1,,,,,26686544.0,ns,13746
Caverphone 1,,,,,26570970.0,ns,13804
Caverphone 1,,,,,26764450.0,ns,13862
Caverphone 1,,,,,27718244.0,ns,13920
Caverphone 1,,,,,26895669.0,ns,13978
Caverphone 1,,,,,27109262.0,ns,14036
Caverphone 1,,,,,27036246.0,ns,14094
Caverphone 1,,,,,27235740.0,ns,14152
Caverphone 1,,,,,27322753.0,ns,14210
Caverphone 1,,,,,27505467.0,ns,14268
Caverphone 1,,,,,27527301.0,ns,14326
Caverphone 1,,,,,27778889.0,ns,14384
Caverphone 1,,,,,27783806.0,ns,14442
Caverphone 1,,,,,27823199.0,ns,14500
Caverphone 1,,,,,28299723.0,ns,14558
Caverphone 1,,,,,29036182.0,ns,14616
Caverphone 1,,,,,28465694.0,ns,14674
Caverphone 1,,,,,28804646.0,ns,14732
Caverphone 1,,,,,28667958.0,ns,14790
Caverphone 1,,,,,28561014.0,ns,14848
Caverphone 1,,,,,28940908.0,ns,14906
Caverphone 1,,,,,29297555.0,ns,14964
Caverphone 1,,,,,28912388.0,ns,15022
Caverphone 1,,,,,28950627.0,ns,15080
Caverphone 1,,,,,29094692.0,ns,15138
Caverphone 1,,,,,29138896.0,ns,15196
Caverphone 1,,,,,29305458.0,ns,15254
Caverphone 1,,,,,29229023.0,ns,15312
Caverphone 1,,,,,29363137.0,ns,15370
Caverphone 1,,,,,29553022.0,ns,15428
Caverphone 1,,,,,29624288.0,ns,15486
Caverphone 1,,,,,30394775.0,ns,15544
Caverphone 1,,,,,30112979.0,ns,15602
Caverphone 1,,,,,30143860.0,ns,15660
Caverphone 1,,,,,30456743.0,ns,15718
Caverphone 1,,,,,30321531.0,ns,15776
Caverphone 1,,,,,30443991.0,ns,15834
Caverphone 1,,,,,30571963.0,ns,15892
Caverphone 1,,,,,30697475.0,ns,15950
Caverphone 1,,,,,30753249.0,ns,16008
Caverphone 1,,,,,30585306.0,ns,16066
Caverphone 1,,,,,30943027.0,ns,16124
Caverphone 1,,,,,31305922.0,ns,16182
Caverphone 1,,,,,31341495.0,ns,16240
Caverphone 1,,,,,31398350.0,ns,16298
Caverphone 1,,,,,31526015.0,ns,16356
Caverphone 1,,,,,31319251.0,ns,16414
Caverphone 1,,,,,32006794.0,ns,16472
Caverphone 1,,,,,31682573.0,ns,16530
Caverphone 1,,,,,33377061.0,ns,16588
Caverphone 1,,,,,32479894.0,ns,16646
Caverphone 1,,,,,32236091.0,ns,16704
Caverphone 1,,,,,32422219.0,ns,16762
Caverphone 1,,,,,32984705.0,ns,16820
Caverphone 1,,,,,33042151.0,ns,16878
Caverphone 1,,,,,33087985.0,ns,16936
Caverphone 1,,,,,33239450.0,ns,16994
Caverphone 1,,,,,33451429.0,ns,17052
Caverphone 1,,,,,33511553.0,ns,17110
Caverphone 1,,,,,33079377.0,ns,17168
Caverphone 1,,,,,33148759.0,ns,17226
Caverphone 1,,,,,33382846.0,ns,17284
Caverphone 1,,,,,33462339.0,ns,17342
Caverphone 1,,,,,33894721.0,ns,17400
