group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
Nysiis (not strict),,,,,13412195.0,ns,13776
Nysiis (not strict),,,,,13980041.0,ns,13888
Nysiis (not strict),,,,,13461023.0,ns,14000
Nysiis (not strict),,,,,13957015.0,ns,14112
Nysiis (not strict),,,,,13891692.0,ns,14224
Nysiis (not strict),,,,,13669268.0,ns,14336
Nysiis (not strict),,,,,14297020.0,ns,14448
Nysiis (not strict),,,,,14628633.0,ns,14560
Nysiis (not strict),,,,,14353662.0,ns,14672
Nysiis (not strict),,,,,14258742.0,ns,14784
Nysiis (not strict),,,,,14383243.0,ns,14896
Nysiis (not strict),,,,,14768641.0,ns,15008
Nysiis (not strict),,,,,14587555.0,ns,15120
Nysiis (not strict),,,,,14527095.0,ns,15232
Nysiis (not strict),,,,,14795103.0,ns,15344
Nysiis (not strict),,,,,14845100.0,ns,15456
Nysiis (not strict),,,,,15187088.0,ns,15568
Nysiis (not strict),,,,,15304720.0,ns,15680
Nysiis (not strict),,,,,15056967.0,ns,15792
Nysiis (not strict),,,,,15154098.0,ns,15904
Nysiis (not strict),,,,,15748187.0,ns,16016
Nysiis (not strict),,,,,15755059.0,ns,16128
Nysiis (not strict),,,,,15918486.0,ns,16240
Nysiis (not strict),,,,,15882808.0,ns,16352
Nysiis (not strict),,,,,15877939.0,ns,16464
Nysiis (not strict),,,,,16234523.0,ns,16576
Nysiis (not strict),,,,,16298883.0,ns,16688
Nysiis (not strict),,,,,16685588.0,ns,16800
Nysiis (not strict),,,,,16293589.0,ns,16912
Nysiis (not strict),,,,,17276306.0,ns,17024
Nysiis (not strict),,,,,16570709.0,ns,17136
Nysiis (not strict),,,,,17021326.0,ns,17248
Nysiis (not strict),,,,,17219965.0,ns,17360
Nysiis (not strict),,,,,17434684.0,ns,17472
Nysiis (not strict),,,,,17770237.0,ns,17584
Nysiis (not strict),,,,,17446763.0,ns,17696
Nysiis (not strict),,,,,17449954.0,ns,17808
Nysiis (not strict),,,,,17691817.0,ns,17920
Nysiis (not strict),,,,,17970335.0,ns,18032
Nysiis (not strict),,,,,17962132.0,ns,18144
Nysiis (not strict),,,,,17326169.0,ns,18256
Nysiis (not strict),,,,,17855522.0,ns,18368
Nysiis (not strict),,,,,17413306.0,ns,18480
Nysiis (not strict),,,,,17253700.0,ns,18592
Nysiis (not strict),,,,,18129241.0,ns,18704
